"","hgnc_symbol","entrez_id"
"1553470_at","DNAH17","8632"
"1553474_at","LOC100288966","100288966"
"1553478_at","KIRREL3-AS3","283165"
"1553479_at","TMEM145","284339"
"1553482_at","C15orf32","145858"
"1553483_at","TSGA10IP","254187"
"1553484_at","LINC00477","144360"
"1553485_at","CCDC140","151278"
"1553486_a_at","C17orf78","284099"
"1553488_at","TEKT5","146279"
"1553491_at","KSR2","283455"
"1553492_a_at","PAX1","5075"
"1553493_a_at","TDH","157739"
"1553497_at","LINC00615","439916"
"1553498_at","CTSC","1075"
"1553499_s_at","SERPINA9","327657"
"1553500_at","FBXL21","26223"
"1553502_a_at","PALM2","114299"
"1553504_at","MRGPRX4","117196"
"1553505_at","C22orf29","79680"
"1553506_at","CPO","130749"
"1553507_a_at","GPR6","2830"
"1553508_at","MDS2","259283"
"1553510_s_at","RQCD1","9125"
"1553511_at","GJD3","125111"
"1553512_at","HOXC12","3228"
"1553513_at","VNN3","55350"
"1553515_at","MYEOV2","150678"
"1553517_at","FERD3L","222894"
"1553518_at","DEFT1P2","100287083"
"1553519_at","LINC00314","246705"
"1553521_at","DEFB104A","140596"
"1553523_at","NLRP14","338323"
"1553524_at","DGKB","1607"
"1553525_at","NLRP13","126204"
"1553526_at","NLRP8","126205"
"1553527_at","NLRP9","338321"
"1553528_a_at","TAF5","6877"
"1553529_at","TAS1R2","80834"
"1553530_a_at","ITGB1","3688"
"1553531_at","PCSK6","5046"
"1553532_a_at","ZNF341","84905"
"1553533_at","JPH1","56704"
"1553534_at","NLRP10","338322"
"1553535_a_at","RANGAP1","5905"
"1553536_at","MBNL2","10150"
"1553537_at","KRT73","319101"
"1553539_at","KRT74","121391"
"1553540_a_at","SLC29A2","3177"
"1553541_at","LMX1A","4009"
"1553542_at","CCDC125","202243"
"1553544_at","GPR101","83550"
"1553545_at","ILDR1","286676"
"1553547_at","RBM26","64062"
"1553549_at","VN1R2","317701"
"1553550_at","VN1R5","317705"
"1553552_at","TAAR8","83551"
"1553553_at","TAS2R39","259285"
"1553555_at","TAS2R38","5726"
"1553556_at","TAS2R40","259286"
"1553558_at","TAS2R41","259287"
"1553559_at","TMEM171","134285"
"1553560_at","VN1R4","317703"
"1553561_at","TAS2R50","259296"
"1553564_at","TNFRSF9","3604"
"1553565_s_at","DDAH1","23576"
"1553566_at","PIANP","196500"
"1553568_a_at","HIST1H1T","3010"
"1553572_a_at","CYGB","114757"
"1553573_s_at","EFNA2","1943"
"1553574_at","IFNE","338376"
"1553575_at","MYO5C","55930"
"1553579_a_at","SPAG11B","10407"
"1553581_s_at","SREK1IP1","285672"
"1553583_a_at","THRSP","7069"
"1553584_at","CXorf36","79742"
"1553585_a_at","MAGEA10-MAGEA5","100533997"
"1553586_at","FBXL19-AS1","283932"
"1553587_a_at","POLE4","56655"
"1553589_a_at","PDZK1IP1","10158"
"1553590_at","FAM27E3","100131997"
"1553592_x_at","BCRP3","644165"
"1553593_a_at","TAL2","6887"
"1553594_a_at","INSL3","3640"
"1553599_a_at","SYCP3","50511"
"1553600_at","TMIE","259236"
"1553602_at","MUCL1","118430"
"1553603_s_at","ATL2","64225"
"1553607_at","LINC00189","193629"
"1553611_s_at","KLHL35","283212"
"1553612_at","RNVU1-9","100312957"
"1553613_s_at","FOXC1","2296"
